"Geneid","SRR1178046","SRR1178036","SRR1178020","SRR1178002","SRR1177999","SRR1177997","SRR1177989","SRR1177988","SRR1177987"
"NM_001000339",0,0,0,0,0,0,0,0,0
"NM_001000340",0,0,0,0,0,0,0,0,0
"NM_001000341",0,0,0,0,0,0,0,0,0
"NM_001000342",0,0,0,0,0,0,0,0,0
"NM_001000343",0,0,0,0,0,0,0,0,0
"NM_001000344",0,0,0,0,0,0,0,0,0
"NM_001000345",0,0,0,0,0,0,0,0,0
"NM_001000346",0,0,0,0,0,0,0,0,0
"NM_001000347",0,0,0,0,0,0,0,0,0
"NM_001000348",0,0,0,0,0,0,0,0,0
"NM_001000349",0,0,0,0,0,0,0,0,0
"NM_001000350",0,0,0,0,0,0,0,0,0
"NM_001000351",0,0,0,0,0,0,0,0,0
"NM_001000352",0,0,0,0,0,0,0,0,0
"NM_001000353",0,0,0,0,0,0,0,0,0
"NM_001000354",0,0,0,0,0,0,0,0,0
"NM_001000355",0,0,0,0,0,0,0,0,0
"NM_001000356",0,0,0,0,0,0,0,0,0
"NM_001000357",0,0,0,0,0,0,0,0,0
"NM_001000359",0,0,0,0,0,0,0,0,0
"NM_001000360",0,0,0,0,0,0,0,0,0
"NM_001000361",0,0,0,0,0,0,0,0,0
"NM_001000362",0,0,0,0,0,0,0,0,0
"NM_001000363",0,0,0,0,0,0,0,0,0
"NM_001000364",0,0,0,0,0,0,0,0,0
"NM_001000365",0,0,0,0,0,0,0,0,0
"NM_001000366",0,0,0,0,0,0,0,0,0
"NM_001000367",0,0,0,0,0,0,0,0,0
"NM_001000368",0,0,0,0,0,0,0,0,0
"NM_001000369",0,0,0,0,0,0,0,0,0
"NM_001000371",0,0,0,0,0,0,0,0,0
"NM_001000372",0,0,0,0,0,0,0,0,0
"NM_001000373",0,0,0,0,0,0,0,0,0
"NM_001000374",0,0,0,0,0,0,0,0,0
"NM_001000375",0,0,0,0,0,0,0,0,0
"NM_001000376",0,0,0,0,0,0,0,0,0
"NM_001000377",0,0,0,0,0,0,0,0,0
"NM_001000378",0,0,0,0,0,0,0,0,0
"NM_001000379",0,0,0,0,0,0,0,0,0
"NM_001000380",0,0,0,0,0,0,0,0,0
"NM_001000381",0,0,0,0,0,0,0,0,0
"NM_001000382",0,0,0,0,0,0,0,0,0
"NM_001000383",0,0,0,0,0,0,0,0,0
"NM_001000384",0,0,0,0,0,0,0,0,0
"NM_001000385",0,0,0,0,0,0,0,0,0
"NM_001000386",0,0,0,0,0,0,0,0,0
"NM_001000387",0,0,0,0,0,0,0,0,0
"NM_001000388",0,0,0,0,0,0,0,0,0
"NM_001000389",0,0,0,0,0,0,0,0,0
"NM_001000390",0,0,0,0,0,0,0,0,0
"NM_001000391",0,0,0,0,0,0,0,0,0
"NM_001000392",0,0,0,0,0,0,0,0,0
"NM_001000393",0,0,0,0,0,0,0,0,0
"NM_001000394",0,0,0,0,0,0,0,0,0
"NM_001000395",0,0,0,0,0,0,0,0,0
"NM_001000397",0,0,0,0,0,0,0,0,0
"NM_001000398",0,0,0,0,0,0,0,0,0
"NM_001000399",0,0,0,0,0,0,0,0,0
"NM_001000400",0,0,0,0,0,0,0,0,0
"NM_001000401",0,0,0,0,0,0,0,0,0
"NM_001000402",0,0,0,0,0,0,0,0,0
"NM_001000403",0,0,0,0,0,0,0,0,0
"NM_001000404",0,0,0,0,0,0,0,0,0
"NM_001000405",0,0,0,0,0,0,0,0,0
"NM_001000406",0,0,0,0,0,0,0,0,0
"NM_001000407",0,0,0,0,0,0,0,0,0
"NM_001000408",0,0,0,0,0,0,0,0,0
"NM_001000409",0,0,0,0,0,0,0,0,0
"NM_001000410",0,0,0,0,0,0,0,0,0
"NM_001000411",0,0,0,0,0,0,0,0,0
"NM_001000412",0,0,0,0,0,0,0,0,0
"NM_001000413",0,0,0,0,0,0,0,0,0
"NM_001000414",0,0,0,0,0,0,0,0,0
"NM_001000415",0,0,0,0,0,0,0,0,0
"NM_001000416",0,0,0,0,0,0,0,0,0
"NM_001000418",0,0,0,0,0,0,0,0,0
"NM_001000419",0,0,0,0,0,0,0,0,0
"NM_001000420",2,0,0,0,0,0,0,0,0
"NM_001000421",0,0,0,0,0,0,0,0,0
"NM_001000423",0,0,0,0,0,0,0,0,0
"NM_001000424",0,0,0,0,0,0,0,0,0
"NM_001000425",0,0,0,0,0,0,0,0,0
"NM_001000426",0,0,0,0,0,0,0,0,0
"NM_001000427",0,0,0,0,0,0,0,0,0
"NM_001000428",0,0,0,0,0,0,0,0,0
"NM_001000429",0,0,0,0,0,0,0,0,0
"NM_001000431",0,0,0,0,0,0,0,0,0
"NM_001000432",0,0,0,0,0,0,0,0,0
"NM_001000433",0,0,0,0,0,0,0,0,0
"NM_001000434",0,0,0,0,0,0,0,0,0
"NM_001000435",0,0,0,0,0,0,0,0,0
"NM_001000436",0,0,0,0,0,0,0,0,0
"NM_001000437",0,0,0,0,0,0,0,0,0
"NM_001000438",0,0,0,0,0,0,0,0,0
"NM_001000439",0,0,0,0,0,0,0,0,0
"NM_001000440",0,0,0,0,0,0,0,0,0
"NM_001000441",0,0,0,0,0,0,0,0,0
"NM_001000442",0,0,0,0,0,0,0,0,0
"NM_001000443",0,0,0,0,0,0,0,0,0
"NM_001000444",0,0,0,0,0,0,0,0,0
"NM_001000445",0,0,0,0,0,0,0,0,0
"NM_001000446",0,0,0,0,0,0,0,0,0
"NM_001000447",0,0,0,0,0,0,0,0,0
"NM_001000448",0,0,0,0,0,0,0,0,0
"NM_001000449",0,0,0,0,0,0,0,0,0
"NM_001000450",0,0,0,0,0,0,0,0,0
"NM_001000451",0,0,0,0,0,0,0,0,0
"NM_001000452",0,0,0,0,0,0,0,0,0
"NM_001000453",0,0,0,0,0,0,0,0,0
"NM_001000454",0,0,0,0,0,0,0,0,0
"NM_001000455",0,0,0,0,0,0,0,0,0
"NM_001000456",0,0,0,0,0,0,0,0,0
"NM_001000457",0,0,0,0,0,0,0,0,0
"NM_001000458",0,0,0,0,0,0,0,0,0
"NM_001000459",0,0,0,0,0,0,0,0,0
"NM_001000460",0,0,0,0,0,0,0,0,0
"NM_001000461",0,0,0,0,0,0,0,0,0
"NM_001000462",0,0,0,0,0,0,0,0,0
"NM_001000463",0,0,0,0,0,0,0,0,0
"NM_001000464",0,0,0,0,0,0,0,0,0
"NM_001000465",0,0,0,0,0,0,0,0,0
"NM_001000466",0,0,0,0,0,0,0,0,0
"NM_001000467",0,0,0,0,0,0,0,0,0
"NM_001000468",0,0,0,0,0,0,0,0,0
"NM_001000469",0,0,0,0,0,0,0,0,0
"NM_001000470",0,0,0,0,0,0,0,0,0
"NM_001000471",0,0,0,0,0,0,0,0,0
"NM_001000472",0,0,0,0,0,0,0,0,0
"NM_001000473",0,0,0,0,0,0,0,0,0
"NM_001000474",0,0,0,0,0,0,0,0,0
"NM_001000475",0,0,0,0,0,0,0,0,0
"NM_001000476",0,0,0,0,0,0,0,0,0
"NM_001000477",0,0,0,0,0,0,0,0,0
"NM_001000478",0,0,0,0,0,0,0,0,0
"NM_001000479",0,0,0,0,0,0,0,0,0
"NM_001000480",0,0,0,0,0,0,0,0,0
"NM_001000481",0,0,0,0,0,0,0,0,0
"NM_001000482",0,0,0,0,0,0,0,0,0
"NM_001000483",0,0,0,0,0,0,0,0,0
"NM_001000484",0,0,0,0,0,0,0,0,0
"NM_001000485",0,0,0,0,0,0,0,0,0
"NM_001000486",0,0,0,0,0,0,0,0,0
"NM_001000487",0,0,0,0,0,0,0,0,0
